"BOX HILL
(N-E METRO)",RAW,,,,,,,"BOX HILL
(N-E METRO)",SYNTHETIC,,,,,,
Middle ring,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
ALP,0.00%,0.00%,0.00%,0.00%,0.00%,,,ALP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LNP,0.00%,0.00%,0.00%,0.00%,0.00%,,,LNP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
GRN,45.33%,10.36%,0.00%,0.00%,44.30%,,,GRN,43.07%,9.85%,0.00%,5.00%,0.00%,42.09%,100.00%
IND,14.97%,36.91%,7.27%,0.00%,40.85%,,,ON,12.00%,58.00%,5.00%,0.00%,6.00%,19.00%,100.00%
OTH,53.40%,46.60%,0.00%,0.00%,0.00%,,,IND,12.73%,31.37%,6.18%,15.00%,0.00%,34.72%,100.00%
,,,,,,,,OTH,26.70%,23.30%,0.00%,50.00%,0.00%,0.00%,100.00%
,,,,,,,,,,,,,,,
"THOMASTOWN
(N METRO)",RAW,,,,,,,"THOMASTOWN
(N METRO)",SYNTHETIC,,,,,,
Outer Metro,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
Index,1,2,3,4,5,25,,Index,1,2,3,4,5,6,25
ALP,0.00%,0.00%,0.00%,0.00%,0.00%,,,ALP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LNP,0.00%,0.00%,0.00%,0.00%,0.00%,,,LNP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
GRN,45.70%,8.71%,0.00%,0.00%,45.59%,,,GRN,43.42%,8.27%,0.00%,5.00%,0.00%,43.31%,100.00%
IND,0.00%,0.00%,0.00%,0.00%,0.00%,,,ON,12.00%,58.00%,5.00%,0.00%,6.00%,19.00%,100.00%
OTH,52.94%,47.06%,0.00%,0.00%,0.00%,,,IND,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,OTH,26.47%,23.53%,0.00%,50.00%,0.00%,0.00%,100.00%
,,,,,,,,,,,,,,,
"KALKALLO
(N METRO)",RAW,,,,,,,"KALKALLO
(N METRO)",SYNTHETIC,,,,,,
Peri-urban,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
Index,1,2,3,4,5,26,,Index,1,2,3,4,5,6,26
ALP,0.00%,0.00%,0.00%,0.00%,0.00%,,,ALP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LNP,0.00%,0.00%,0.00%,0.00%,0.00%,,,LNP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
GRN,58.25%,13.68%,0.00%,0.00%,28.08%,,,GRN,52.42%,12.31%,0.00%,10.00%,0.00%,25.27%,100.00%
IND,19.94%,14.95%,11.56%,0.00%,53.55%,,,ON,10.00%,63.00%,3.00%,0.00%,6.00%,18.00%,100.00%
OTH,47.93%,52.07%,0.00%,0.00%,0.00%,,,IND,14.95%,11.21%,8.67%,25.00%,0.00%,40.16%,100.00%
,,,,,,,,OTH,21.57%,23.43%,0.00%,55.00%,0.00%,0.00%,100.00%
,,,,,,,,,,,,,,,
"CLARINDA
(SE METRO)",RAW,,,,,,,"CLARINDA
(SE METRO)",SYNTHETIC,,,,,,
Middle Ring,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
Index,1,2,3,4,5,27,,Index,1,2,3,4,5,6,27
ALP,0.00%,0.00%,0.00%,0.00%,0.00%,,,ALP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LNP,0.00%,0.00%,0.00%,0.00%,0.00%,,,LNP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
GRN,66.15%,15.55%,0.00%,18.30%,0.00%,,,GRN,62.84%,14.78%,0.00%,5.00%,17.38%,0.00%,100.00%
IND,43.28%,56.72%,0.00%,0.00%,0.00%,,,ON,12.00%,58.00%,5.00%,0.00%,6.00%,19.00%,100.00%
OTH,14.93%,16.21%,21.63%,47.23%,0.00%,,,IND,36.79%,48.21%,0.00%,15.00%,0.00%,0.00%,100.00%
,,,,,,,,OTH,8.96%,9.73%,12.98%,40.00%,28.34%,0.00%,100.00%
,,,,,,,,,,,,,,,
"MORDIALLOC
(SE METRO)",RAW,,,,,,,"MORDIALLOC
(SE METRO)",SYNTHETIC,,,,,,
Middle Ring,ALP,LNP,GRN,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,PrefRow
Index,1,2,3,4,5,28,,Index,1,2,3,4,5,6,28
ALP,0.00%,0.00%,0.00%,0.00%,0.00%,,,ALP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
LNP,0.00%,0.00%,0.00%,0.00%,0.00%,,,LNP,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
GRN,76.78%,23.22%,0.00%,0.00%,0.00%,,,GRN,72.94%,22.06%,0.00%,5.00%,0.00%,0.00%,100.00%
IND,27.99%,53.23%,18.78%,0.00%,0.00%,,,ON,12.00%,58.00%,5.00%,0.00%,6.00%,19.00%,100.00%
OTH,15.50%,19.85%,25.59%,39.06%,0.00%,,,IND,23.79%,45.25%,15.96%,15.00%,0.00%,0.00%,100.00%
,,,,,,,,OTH,9.30%,11.91%,15.36%,40.00%,23.43%,0.00%,100.00%
